Airline Code,Flight Number,Flight Status,Aircraft Code,Aircraft Name,Duration Minutes,Departure Airport Code,Departure Airport,Departure City,Departure Terminal,Departure Time,Estimated Departure,Arrival Airport Code,Arrival Airport,Arrival City,Arrival Terminal,Arrival Time,Estimated Arrival,Booking Classes,Captured URL,Captured At
VN,101,arrived,321,AIRBUS A321,95.0,DAD,INTERNATIONAL,DA NANG,1,2026-05-10T05:36:00,2026-05-10T05:45:00,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,3,2026-05-10T06:54:00,2026-05-10T07:20:00,"J, C, D, I, O, W, Z, U, Y, B, M, S, H, K, L, Q, N, R, T, E, P, A, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=101&departureDate=2026-05-10,
VN,104,cancelled,321,AIRBUS A321,80.0,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,3,2026-05-10T06:30:00,2026-05-10T06:30:00,DAD,INTERNATIONAL,DA NANG,1,2026-05-10T07:50:00,2026-05-10T07:50:00,"J, C, D, I, O, W, Z, U, Y, B, M, S, H, K, L, Q, N, R, T, E, P, A, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=104&departureDate=2026-05-10,
VN,105,cancelled,321,AIRBUS A321,95.0,DAD,INTERNATIONAL,DA NANG,1,2026-05-10T08:25:00,2026-05-10T08:25:00,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,3,2026-05-10T10:00:00,2026-05-10T10:00:00,"J, C, D, I, O, W, Z, U, Y, B, M, S, H, K, L, Q, N, R, T, E, P, A, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=105&departureDate=2026-05-10,
VN,106,arrived,321,AIRBUS A321,80.0,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,3,2026-05-10T05:40:00,2026-05-10T05:45:00,DAD,INTERNATIONAL,DA NANG,1,2026-05-10T06:52:00,2026-05-10T07:05:00,"J, C, D, I, O, W, Z, U, Y, B, M, S, H, K, L, Q, N, R, T, E, P, A, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=106&departureDate=2026-05-10,
VN,107,cancelled,321,AIRBUS A321,95.0,DAD,INTERNATIONAL,DA NANG,1,2026-05-10T07:40:00,2026-05-10T07:40:00,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,3,2026-05-10T09:15:00,2026-05-10T09:15:00,"J, C, D, I, O, W, Z, U, Y, B, M, S, H, K, L, Q, N, R, T, E, P, A, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=107&departureDate=2026-05-10,
VN,109,arrived,321,AIRBUS A321,95.0,DAD,INTERNATIONAL,DA NANG,1,2026-05-10T08:38:00,2026-05-10T08:40:00,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,3,2026-05-10T10:04:00,2026-05-10T10:15:00,"J, C, D, I, O, W, Z, U, Y, B, M, S, H, K, L, Q, N, R, T, E, P, A, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=109&departureDate=2026-05-10,
VN,110,arrived,321,AIRBUS A321,80.0,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,3,2026-05-10T06:38:00,2026-05-10T06:45:00,DAD,INTERNATIONAL,DA NANG,1,2026-05-10T07:56:00,2026-05-10T08:05:00,"J, C, D, I, O, W, Z, U, Y, B, M, S, H, K, L, Q, N, R, T, E, P, A, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=110&departureDate=2026-05-10,
VN,112,arrived,321,AIRBUS A321,80.0,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,3,2026-05-10T07:48:00,2026-05-10T08:00:00,DAD,INTERNATIONAL,DA NANG,1,2026-05-10T09:09:00,2026-05-10T09:20:00,"J, C, D, I, O, W, Z, U, Y, B, M, S, H, K, L, Q, N, R, T, E, P, A, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=112&departureDate=2026-05-10,
VN,113,arrived,321,AIRBUS A321,95.0,DAD,INTERNATIONAL,DA NANG,1,2026-05-10T09:56:00,2026-05-10T09:55:00,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,3,2026-05-10T11:25:00,2026-05-10T11:30:00,"J, C, D, I, O, W, Z, U, Y, B, M, S, H, K, L, Q, N, R, T, E, P, A, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=113&departureDate=2026-05-10,
VN,118,arrived,321,AIRBUS A321,80.0,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,3,2026-05-10T09:14:00,2026-05-10T09:05:00,DAD,INTERNATIONAL,DA NANG,1,2026-05-10T10:32:00,2026-05-10T10:25:00,"J, C, D, I, O, W, Z, U, Y, B, M, S, H, K, L, Q, N, R, T, E, P, A, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=118&departureDate=2026-05-10,
VN,119,arrived,321,AIRBUS A321,95.0,DAD,INTERNATIONAL,DA NANG,1,2026-05-10T11:12:00,2026-05-10T11:00:00,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,3,2026-05-10T12:57:00,2026-05-10T12:35:00,"J, C, D, I, O, W, Z, U, Y, B, M, S, H, K, L, Q, N, R, T, E, P, A, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=119&departureDate=2026-05-10,
